id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
5834,SAWG,medium_airport,Piloto Civil N. Fernández Airport,-51.6089,-69.3126,61,SA,AR,AR-Z,Rio Gallegos,yes,SAWG,RGL,GAL,,https://en.wikipedia.org/wiki/Piloto_Civil_Norberto_Fern%C3%A1ndez_International_Airport,Brigadier General D. A. Parodi
5835,SAWH,medium_airport,Malvinas Argentinas Airport,-54.8433,-68.2958,102,SA,AR,AR-V,Ushuaia,yes,SAWH,USH,USU,,https://en.wikipedia.org/wiki/Ushuaia_International_Airport,
5836,SAWJ,medium_airport,Capitan D Daniel Vazquez Airport,-49.306816,-67.802596,203,SA,AR,AR-Z,San Julian,yes,SAWJ,ULA,SJU,,https://en.wikipedia.org/wiki/Capit%C3%A1n_Jos%C3%A9_Daniel_Vazquez_Airport,
5838,SAWP,medium_airport,Perito Moreno Airport,-46.537899,-70.978699,1410,SA,AR,AR-Z,Perito Moreno,yes,SAWP,PMQ,PTM,,https://en.wikipedia.org/wiki/Perito_Moreno_Airport,
5839,SAWU,medium_airport,Santa Cruz Airport,-50.0165,-68.5792,364,SA,AR,AR-Z,Puerto Santa Cruz,yes,SAWU,RZA,SCZ,,https://en.wikipedia.org/wiki/Santa_Cruz_Airport_(Argentina),
5840,SAZB,medium_airport,Comandante Espora Airport,-38.725,-62.1693,246,SA,AR,AR-B,Bahia Blanca,yes,SAZB,BHI,BCA,https://www.aeropuertobahiablanca.com/,https://en.wikipedia.org/wiki/Comandante_Espora_Airport,Bahía Blanca Airport
5843,SAZG,medium_airport,General Pico Airport,-35.696201,-63.758301,459,SA,AR,AR-L,General Pico,no,SAZG,GPO,GPI,,https://en.wikipedia.org/wiki/General_Pico_Airport,
5844,SAZH,medium_airport,Tres Arroyos Airport,-38.3869,-60.3297,400,SA,AR,AR-B,Tres Arroyos,no,SAZH,OYO,YOS,,https://en.wikipedia.org/wiki/Tres_Arroyos_Airport,
5846,SAZL,medium_airport,Santa Teresita Airport,-36.5423,-56.7218,9,SA,AR,AR-B,Santa Teresita,yes,SAZL,SST,STR,,https://en.wikipedia.org/wiki/Santa_Teresita_Airport,
5847,SAZM,medium_airport,Ástor Piazzola International Airport,-37.9342,-57.5733,72,SA,AR,AR-B,Mar del Plata,yes,SAZM,MDQ,MDP,,https://en.wikipedia.org/wiki/%C3%81stor_Piazzola_International_Airport,Brigadier General Bartolome De La Colina International Airport
5848,SAZN,medium_airport,Presidente Peron Airport,-38.949001,-68.155701,895,SA,AR,AR-Q,Neuquen,yes,SAZN,NQN,NEU,,https://en.wikipedia.org/wiki/Presidente_Per%C3%B3n_International_Airport,
5849,SAZO,medium_airport,Necochea Airport,-38.490746,-58.816337,72,SA,AR,AR-B,Necochea,yes,SAZO,NEC,NEC,,https://en.wikipedia.org/wiki/Necochea_Airport,
5850,SAZP,medium_airport,Comodoro Pedro Zanni Airport,-35.8446,-61.8576,278,SA,AR,AR-B,Pehuajó,no,SAZP,PEH,PEH,,https://en.wikipedia.org/wiki/Comodoro_P._Zanni_Airport,
5851,SAZR,medium_airport,Santa Rosa Airport,-36.588299,-64.275703,630,SA,AR,AR-L,Santa Rosa,yes,SAZR,RSA,OSA,,https://en.wikipedia.org/wiki/Santa_Rosa_Airport_(Argentina),
5852,SAZS,medium_airport,San Carlos De Bariloche Airport,-41.151199,-71.157501,2774,SA,AR,AR-R,San Carlos de Bariloche,yes,SAZS,BRC,BAR,http://www.aa2000.com.ar/bariloche,https://en.wikipedia.org/wiki/San_Carlos_de_Bariloche_Airport,
5853,SAZT,medium_airport,Héroes De Malvinas Airport,-37.234634,-59.228647,574,SA,AR,AR-B,Tandil,no,SAZT,TDL,DIL,,https://en.wikipedia.org/wiki/Tandil_Airport,
5854,SAZV,medium_airport,Villa Gesell Airport,-37.2354,-57.0292,32,SA,AR,AR-B,Villa Gesell,no,SAZV,VLG,GES,,https://en.wikipedia.org/wiki/Villa_Gesell_Airport,
5855,SAZW,medium_airport,Cutral-Co Airport,-38.939701,-69.264603,2132,SA,AR,AR-Q,Cutral-Co,no,SAZW,CUT,CUT,,https://en.wikipedia.org/wiki/Cutral_C%C3%B3_Airport,
5856,SAZY,medium_airport,Aviador C. Campos Airport,-40.075401,-71.137299,2569,SA,AR,AR-Q,Chapelco/San Martin de los Andes,yes,SAZY,CPC,CHP,,https://en.wikipedia.org/wiki/Aviador_Carlos_Campos_Airport,
